Model,Name,order,seasonal_order,K,fourier_period,t0,input,rmse1,rmse7,rmse30
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,663,30,0.6754909174901186,0.9506219198689264,2.6557303213960517
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,700,30,1.3626183192414218,1.2371182907740776,3.276036964306893
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,725,30,0.9627582273651433,0.8543458715790929,1.364578971346519
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,782,30,0.5485353855104185,1.165838149552932,2.3394585077854275
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,794,30,0.5068460071031258,0.8523875855737415,2.3777642500302303
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,823,30,0.8868831402013615,1.214081868429763,3.739925454693015
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,872,30,0.7138522089705746,1.3637097216070795,2.5532559618579693
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,942,30,3.182455373080269,3.3661599761315606,5.327781992483023
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,1061,30,0.718945938008493,0.9503116286071093,3.058393146231183
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,30,30,1.3756824053915828,3.8064322689328605,36.193817703893956
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,155,30,0.9450943523384749,3.8544341161563933,67.16465161362197
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,162,30,1.1525150474584311,5.684530606795196,103.61676312977224
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,166,30,0.5816133047617325,2.381686416547714,36.57233426432059
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,175,30,1.5902785844908796,3.944435830354761,77.07607948307408
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,233,30,2.2882945462023976,6.877950862741156,89.35369326985175
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,321,30,1.569838962333424,5.283069598293577,66.79588354596845
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,371,30,1.2513327692267904,4.78902868644321,68.28967353447058
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,397,30,0.8204365281743616,3.155271342029983,52.43082928128492
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,430,30,1.832892096666513,4.607890889323104,64.03005869953532
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,478,30,1.8211970268860145,7.55694864881362,109.63314657617667
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,510,30,0.9251086565898803,2.539656289437841,38.58592521895896
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,624,30,1.1484732956598283,6.081948761447589,88.00334782051097
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,684,30,1.0419345253609715,3.653850237240956,43.72531720254607
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,790,30,0.717048069945604,3.0331375338677553,52.91098302031899
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,828,30,0.9687307271504028,4.073636846912609,69.15800871306408
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,898,30,1.4339888343584581,3.9401192174607145,66.22359326678996
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,908,30,1.3580922668125555,4.066105834421084,60.334308793713824
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,914,30,2.8311938690916207,9.049129773774236,115.2497428622312
SARIMAX_FOURIER,SARIMAX_Fourier_K2,"(1, 1, 1)",None,2.0,365.0,998,30,1.3479109194588148,3.3282764665390294,66.79290448974605
