Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
ARIMA,"ARIMA(0, 0, 3)",574,30,7.922347423,24.85238626,26.1953643
ARIMA,"ARIMA(0, 0, 3)",583,30,4.770422351,24.04300321,24.87962551
ARIMA,"ARIMA(0, 0, 3)",593,30,3.126994168,21.49599593,23.2092909
ARIMA,"ARIMA(0, 0, 3)",596,30,6.076536886,21.68111317,23.12402432
ARIMA,"ARIMA(0, 0, 3)",612,30,5.939982954,19.79172022,22.02341141
ARIMA,"ARIMA(0, 0, 3)",614,30,5.852547158,19.88632602,21.94462806
ARIMA,"ARIMA(0, 0, 3)",616,30,5.832973433,20.00712001,21.7985357
ARIMA,"ARIMA(0, 0, 3)",618,30,5.288459137,20.35568325,21.62736824
ARIMA,"ARIMA(0, 0, 3)",619,30,4.128016381,20.02082728,21.43014613
ARIMA,"ARIMA(0, 0, 3)",629,30,3.86279621,19.43919927,20.2407946
ARIMA,"ARIMA(0, 0, 3)",643,30,4.164247675,17.341572,18.57740313
ARIMA,"ARIMA(0, 0, 3)",659,30,4.507297585,16.38172941,17.1280602
ARIMA,"ARIMA(0, 0, 3)",661,30,3.997937791,16.02866703,16.91876305
ARIMA,"ARIMA(0, 0, 3)",666,30,4.185462789,15.66408582,16.52869668
ARIMA,"ARIMA(0, 0, 3)",675,30,3.550095675,15.25700705,16.02947914
ARIMA,"ARIMA(0, 0, 3)",676,30,4.0236613,15.21851302,15.96873948
ARIMA,"ARIMA(0, 0, 3)",679,30,5.012021302,15.03063117,15.77550629
ARIMA,"ARIMA(0, 0, 3)",680,30,3.066173511,14.40139312,15.59231237
ARIMA,"ARIMA(0, 0, 3)",693,30,3.513818551,13.91370705,15.30787158
ARIMA,"ARIMA(0, 0, 3)",696,30,3.662795793,14.47797346,15.24431824
ARIMA,"ARIMA(0, 0, 3)",709,30,3.303448254,13.6044941,14.54259965
ARIMA,"ARIMA(0, 0, 3)",710,30,3.645391722,13.68977466,14.51276546
ARIMA,"ARIMA(0, 0, 3)",719,30,3.708596095,13.24386098,13.98840584
ARIMA,"ARIMA(0, 0, 3)",720,30,3.094783064,12.88556225,13.89148145
ARIMA,"ARIMA(0, 0, 3)",724,30,2.782515757,12.63910471,13.68044674
ARIMA,"ARIMA(0, 0, 3)",726,30,2.582413564,12.54033274,13.54739377
ARIMA,"ARIMA(0, 0, 3)",729,30,3.205672746,12.50267303,13.38644895
ARIMA,"ARIMA(0, 0, 3)",735,30,2.887898584,12.24832255,13.06775083
ARIMA,"ARIMA(0, 0, 3)",736,30,2.719029791,12.29422304,13.02011635
ARIMA,"ARIMA(0, 0, 3)",740,30,3.325957324,12.31399473,12.82602862
ARIMA,"ARIMA(0, 0, 3)",741,30,3.631087851,12.30115921,12.77244945
ARIMA,"ARIMA(0, 0, 3)",742,30,3.21224674,12.27192052,12.71559122
ARIMA,"ARIMA(0, 0, 3)",744,30,3.047327066,12.0072198,12.58737595
ARIMA,"ARIMA(0, 0, 3)",747,30,2.533624145,11.68500428,12.42217737
ARIMA,"ARIMA(0, 0, 3)",749,30,2.613133966,11.36461122,12.34289053
ARIMA,"ARIMA(0, 0, 3)",763,30,3.398443663,11.16394189,12.51512744
ARIMA,"ARIMA(0, 0, 3)",766,30,2.518215938,10.82825317,12.53057786
ARIMA,"ARIMA(0, 0, 3)",771,30,2.833368185,10.9853937,12.64084126
ARIMA,"ARIMA(0, 0, 3)",776,30,3.047709118,11.43510217,12.73612541
ARIMA,"ARIMA(0, 0, 3)",785,30,3.501854176,11.70686356,12.93391103
ARIMA,"ARIMA(0, 0, 3)",790,30,2.573288394,11.41955039,12.87649787
ARIMA,"ARIMA(0, 0, 3)",794,30,3.200188259,11.4541161,12.90507687
ARIMA,"ARIMA(0, 0, 3)",797,30,3.598676498,11.32015531,12.97857649
ARIMA,"ARIMA(0, 0, 3)",799,30,2.762219645,11.31655516,12.94750372
ARIMA,"ARIMA(0, 0, 3)",802,30,2.245530101,11.79205913,13.00317352
ARIMA,"ARIMA(0, 0, 3)",807,30,3.211206247,11.87361249,13.09405464
ARIMA,"ARIMA(0, 0, 3)",814,30,2.812714912,11.40739362,13.45232965
ARIMA,"ARIMA(0, 0, 3)",825,30,2.555465796,11.57465885,14.3294821
ARIMA,"ARIMA(0, 0, 3)",836,30,3.177049124,13.41617648,15.7273419
ARIMA,"ARIMA(0, 0, 3)",842,30,3.760980582,13.21677604,16.16046796
ARIMA,"ARIMA(0, 0, 3)",843,30,2.541358852,13.10642935,16.22158948
ARIMA,"ARIMA(0, 0, 3)",848,30,3.888207819,13.97089418,16.50322019
ARIMA,"ARIMA(0, 0, 3)",849,30,3.384540674,13.70854122,16.52628086
ARIMA,"ARIMA(0, 0, 3)",852,30,2.584543633,13.90221184,16.6455408
ARIMA,"ARIMA(0, 0, 3)",853,30,4.401191118,14.69682917,16.84430249
ARIMA,"ARIMA(0, 0, 3)",867,30,1.866026526,15.23058551,17.61710119
ARIMA,"ARIMA(0, 0, 3)",876,30,7.340303046,16.13419596,18.99217341
ARIMA,"ARIMA(0, 0, 3)",886,30,5.063807327,16.78929743,20.42894831
ARIMA,"ARIMA(0, 0, 3)",898,30,6.900706315,18.4634418,21.52606886
ARIMA,"ARIMA(0, 0, 3)",899,30,2.859248442,17.68893413,21.39425115
ARIMA,"ARIMA(0, 0, 3)",908,30,4.982010594,20.00490097,21.87147075
ARIMA,"ARIMA(0, 0, 3)",914,30,4.539788239,18.73268663,22.25276363
ARIMA,"ARIMA(0, 0, 3)",930,30,8.277891841,20.42262502,24.31417442
ARIMA,"ARIMA(0, 0, 3)",935,30,4.343545829,19.84030401,24.68504591
ARIMA,"ARIMA(0, 0, 3)",940,30,6.083106176,22.54599123,25.1872768
ARIMA,"ARIMA(0, 0, 3)",941,30,6.152310399,21.94082287,25.09714616
ARIMA,"ARIMA(0, 0, 3)",942,30,7.878109055,22.09629896,25.13030991
ARIMA,"ARIMA(0, 0, 3)",953,30,5.521662545,22.21769504,24.51887963
ARIMA,"ARIMA(0, 0, 3)",955,30,5.735624233,22.69845551,24.5434587
ARIMA,"ARIMA(0, 0, 3)",981,30,6.718259138,22.05285934,22.77194029
ARIMA,"ARIMA(0, 0, 3)",988,30,5.753929678,19.95592319,22.00192944
ARIMA,"ARIMA(0, 0, 3)",989,30,5.088418953,20.02410131,21.97932768
ARIMA,"ARIMA(0, 0, 3)",992,30,2.690706982,19.58533529,21.74099062
ARIMA,"ARIMA(0, 0, 3)",993,30,3.947026423,20.05635703,21.76415492
ARIMA,"ARIMA(0, 0, 3)",994,30,3.657120685,19.83253006,21.64447699
ARIMA,"ARIMA(0, 0, 3)",999,30,6.886414065,20.08259125,21.47382563
ARIMA,"ARIMA(0, 0, 3)",1003,30,3.771392531,19.33843899,21.06854404
ARIMA,"ARIMA(0, 0, 3)",1006,30,5.230258909,19.66299588,20.92484438
ARIMA,"ARIMA(0, 0, 3)",1007,30,6.032767254,19.5959387,20.84540303
ARIMA,"ARIMA(0, 0, 3)",1012,30,6.235127711,19.50799894,20.51572218
ARIMA,"ARIMA(0, 0, 3)",1022,30,4.875236704,18.58698584,19.45675402
ARIMA,"ARIMA(0, 0, 3)",1023,30,5.722241571,18.57851701,19.36489486
ARIMA,"ARIMA(0, 0, 3)",1024,30,4.475681454,18.11443236,19.16737997
ARIMA,"ARIMA(0, 0, 3)",1039,30,4.626800634,17.03969299,17.75172071
ARIMA,"ARIMA(0, 0, 3)",1043,30,4.147554017,16.27770725,17.35706634
ARIMA,"ARIMA(0, 0, 3)",1046,30,4.811089,16.15010611,17.17734362
ARIMA,"ARIMA(0, 0, 3)",1050,30,3.924049591,15.56821497,16.90520178
ARIMA,"ARIMA(0, 0, 3)",1053,30,3.936121307,15.76421639,16.73758327
ARIMA,"ARIMA(0, 0, 3)",1054,30,4.290547162,15.81501199,16.67407735
ARIMA,"ARIMA(0, 0, 3)",1055,30,4.16556549,15.66205233,16.56951211
ARIMA,"ARIMA(0, 0, 3)",1065,30,3.939591776,14.8457732,15.84068988
ARIMA,"ARIMA(0, 0, 3)",1067,30,3.57736438,14.79280254,15.69882558
ARIMA,"ARIMA(0, 0, 3)",1079,30,3.595278822,13.8614773,14.73169212
ARIMA,"ARIMA(0, 0, 3)",1080,30,3.294144513,13.85171315,14.65447713
ARIMA,"ARIMA(0, 0, 3)",1088,30,3.287671373,13.54050927,14.04846309
ARIMA,"ARIMA(0, 0, 3)",1090,30,3.952086449,13.31556788,13.8952113
ARIMA,"ARIMA(0, 0, 3)",1091,30,2.864085561,13.04965628,13.77687115
ARIMA,"ARIMA(0, 1, 1)",43,30,0.325579676,0.679715734,1.083689334
ARIMA,"ARIMA(0, 1, 1)",45,30,0.579315362,0.622811339,1.011987961
ARIMA,"ARIMA(0, 1, 1)",52,30,0.34915475,0.479789175,0.793475353
ARIMA,"ARIMA(0, 1, 1)",53,30,0.328472153,0.642121221,0.896860677
ARIMA,"ARIMA(0, 1, 1)",54,30,0.402433178,0.652303766,0.896781286
ARIMA,"ARIMA(0, 1, 1)",58,30,0.517079325,0.892891128,0.957361669
ARIMA,"ARIMA(0, 1, 1)",61,30,0.552415974,0.841663039,0.927380435
